from,to,relation,weight
dag,dib,3,6
dal,dht,4,6
dal,afd,3,6
dam,dib,3,6
dap,ovek,5,6
dap,afd,3,6
dat,afd,3,6
dbh,afd,3,6
dbh,dnb,1,4
dbh,dgk,3,6
dbh,dca,1,4
dbh,oms,1,3
dca,dib,3,6
ddf,dha,1,3
ddf,dib,3,6
ddm,afd,3,6
dds,dib,3,6
dfk,ddm,1,4
dfk,afd,3,6
dfk,ja,3,6
dfs,dkn,4,6
dfs,dmcm,1,2
dfs,dib,3,6
dgk,dib,3,6
dha,dag,4,6
dha,afd,3,6
dhms,dls,1,3
dhms,afd,3,6
dhms,dib,3,6
dht,dls,1,1
dht,afd,3,6
djab,afd,3,6
djg,dfs,1,4
djg,afd,3,6
djg,dib,3,6
djh,dsk,1,3
djh,afd,3,6
djh,dib,3,6
djob,dpn,1,4
djob,drti,1,4
djob,afd,3,6
djr,dib,3,6
djr,dea,5,6
djs,afd,3,6
djws,afd,3,6
djws,ja,3,6
dkdfm,dpb,5,6
dkdfm,dgk,5,6
dkdfm,dsk,5,6
dkdfm,dds,5,6
dkdfm,dyn,5,6
dkdfm,orm,5,6
dkn,dms,1,3
dkn,dca,1,3
dkn,dib,3,6
dls,dpn,1,3
dls,afd,3,6
dls,ja,3,6
dmcm,dib,3,6
dmk,dms,1,3
dmkr,afd,3,6
dmm,dib,3,6
dmme,afd,3,6
dms,dmm,1,2
dms,dib,3,6
dmtk,afd,3,6
dna,dib,3,6
dnb,ja,3,6
dpb,dsk,1,4
dpb,dds,1,4
dpb,dyn,1,4
dpn,afd,3,6
dpn,ja,3,6
dpt,dam,1,3
dpt,dib,3,6
drte,afd,3,6
drte,ja,3,6
drti,dmkr,1,4
drti,dib,3,6
drti,dem,5,6
dsd,ddf,4,6
dsd,afd,3,6
dse,dib,3,6
dse,dea,5,6
dsk,dib,3,6
dtg,dmm,1,2
dtg,dib,3,6
dtg,dem,5,6
dtge,dib,3,6
dtw,dms,1,2
dtw,dib,3,6
dtw,dms,1,3
dyn,dca,4,6
dyn,afd,3,6
fab,gi,3,6
fab,rn,3,6
fab,fsr,4,6
fate,fre,1,2
fate,ffs,1,2
fate,fjp,1,2
fate,gi,3,6
fate,dea,5,6
fav,citadelle,5,6
fav,fsc,1,2
fav,gi,3,6
fcg,gi,3,6
fcg,dem,5,6
fcg,dea,5,6
fcl,citadelle,5,6
fcl,rn,3,6
fclg,gi,3,6
fclg,dem,5,6
fdl,fsc,1,4
fdl,gi,3,6
fdl,dem,5,6
fdl,dea,5,6
fecd,frf,1,3
fecd,rn,3,6
ffc,citadelle,5,6
ffc,fnc,1,3
ffc,fmlp,1,2
ffc,rn,3,6
ffs,fjp,1,2
ffs,gi,3,6
ffs,rn,3,6
fgb,fpv,1,3
fgb,gi,3,6
fgb,rn,3,6
fgc,fdl,1,2
fgc,gi,3,6
fgc,rn,3,6
fgp,fnb,4,6
fgp,gi,3,6
fjb,fmlp,1,2
fjb,rn,3,6
fjb,dea,4,6
fjp,fsr,1,3
fjp,fate,1,2
fjp,fre,1,2
fjp,gi,3,6
fjp,rn,3,6
fjp,dem,5,6
fjp,dea,5,6
fmlp,rn,3,6
fmmlp,fmlp,1,1
fmmlp,fcg,1,4
fmmlp,fre,1,4
fmmlp,rn,3,6
fnb,citadelle,5,6
fnb,fmlp,1,2
fnb,fpv,1,2
fnb,rn,3,6
fnb,dea,4,6
fnc,citadelle,5,6
fnc,fmlp,1,2
fpe,fpl,4,6
fpe,frm,1,2
fpe,fmlp,1,3
fpe,fav,4,6
fpe,rn,3,6
fpl,gi,3,6
fpo,fmlp,1,2
fpo,fdl,1,2
fpo,rn,3,6
fpv,fmmlp,4,6
fpv,gi,3,6
fpv,rn,3,6
frc,gi,3,6
frc,rn,3,6
fre,ffs,1,2
fre,gi,3,6
fre,dea,5,6
frf,gi,3,6
frm,gi,3,6
frm,rn,3,6
fsc,fate,4,6
fsc,rn,3,6
fsc,dea,4,6
fsg,citadelle,5,6
fsg,rn,3,6
fsr,rn,3,6
ofl,orfj,3,6
ofl,oms,4,6
ofs,ovek,5,6
ofs,ofpö,3,6
ogd,ofpö,3,6
ogk,ovek,5,6
ogk,ofpö,3,6
ohk,ofpö,3,6
ohl,ovek,5,6
ohl,ofpö,3,6
ohs,ofpö,5,6
ohs,oib,4,6
ohs,oml,1,4
ojk,ovek,5,6
ojk,ofpö,3,6
okw,ofpö,3,6
olk,oa,5,6
olk,ofpö,3,6
ome,ofpö,3,6
omg,ovek,5,6
omg,ofpö,3,6
omh,ofpö,3,6
omk,ofpö,3,6
oml,oms,1,4
oms,dca,1,4
oms,dem,5,6
omw,oa,5,6
omw,orfj,3,6
orm,oa,5,6
orm,orfj,3,6
osf,ovek,5,6
osf,ofpö,3,6
osw,ofpö,3,6
oswa,ofpö,3,6
oth,ovek,5,6
oth,ofpö,3,6
ovek,dms,5,6
ovek,dsk,5,6
ovek,dam,5,6
ovek,dgk,5,6
ovek,dap,5,6
ovek,dal,5,6
ovek,dha,5,6
owa,ofpö,3,6
owa,ovek,5,6
owg,oib,4,6
owk,ofpö,3,6
owk,oib,4,6
oww,ofpö,3,6
owz,ofpö,3,6
oms,oib,4,6
owg,ofpö,3,6